id,reviewer,rating,text
Ci9DQUlRQUNvZENodHljRjlvT2poaVpubHBRa05PVmtveVRFeEZOVTl3WkdsTFptYxAB,여행자,5,1월  따뜻한  차한잔 생각나서 여기저기 걸어다니다 예쁜 카페발견  커피는 완전  고소하고  유럽여행중 마셨던 커피보다 더 유럽스러운맛  라떼가 이런게 깊은 맛이 케잌은 여기서 만든는거 같지는 않은데도 티라미슈가 너무 달지않고 맛있고 카페 분위기도 너무 조용하지만 무겁지않은 분위기가 너무좋다 또 오고싶은곳
,여행자,,
,,5,1월  따뜻한  차한잔 생각나서 여기저기 걸어다니다 예쁜 카페발견  커피는 완전  고소하고  유럽여행중 마셨던 커피보다 더 유럽스러운맛  라떼가 이런게 깊은 맛이 케잌은 여기서 만든는거 같지는 않은데도 티라미슈가 너무 달지않고 맛있고 카페 분위기도 너무 조용하지만 무겁지않은 분위기가 너무좋다 또 오고싶은곳
Ci9DQUlRQUNvZENodHljRjlvT214Q1lqUjRRbGhWYzJWWWQzRkNkRFJGVUZoMlUyYxAB,한국인,5,구글 후기 개수가 너무 많아서 리뷰 이벤트나 어비징을 한 것 같긴 하지만 기본적으로 커피 맛이나 디저트 맛이 굉장히 있는 편입니다. 커피는 살짝 피치 한 듯한 과일 향이 가득해서 솔직히 아주 마음에 들었고 공간은 햇빛이 잘 들어오는 공간이나 주차공간은 두자리 있고 낮에 방문했는데 자리는 되게 널널했다.
,한국인,,
,,5,구글 후기 개수가 너무 많아서 리뷰 이벤트나 어비징을 한 것 같긴 하지만 기본적으로 커피 맛이나 디저트 맛이 굉장히 있는 편입니다. 커피는 살짝 피치 한 듯한 과일 향이 가득해서 솔직히 아주 마음에 들었고 공간은 햇빛이 잘 들어오는 공간이나 주차공간은 두자리 있고 낮에 방문했는데 자리는 되게 널널했다.
Ci9DQUlRQUNvZENodHljRjlvT25kRlowd3djMlpOWlVodlgyUmFVM2ROWjJodU5FRRAB,Cashmere Cho,5,리뷰 엄청 좋아서 점심칼국수먹고 걸어서 살살 찾아갔어요.. 아메리카노 산미랑 아인슈페너 마셨는데 향미도 좋고 크림도 맛있었어요...다시 방문의사 있어요.
,Cashmere Cho,,
,,5,리뷰 엄청 좋아서 점심칼국수먹고 걸어서 살살 찾아갔어요.. 아메리카노 산미랑 아인슈페너 마셨는데 향미도 좋고 크림도 맛있었어요...다시 방문의사 있어요.
ChZDSUhNMG9nS0VJQ0FnSUNtOXZTdFNnEAE,백진영,4,커피맛은 인정 디저트가 좀 아쉬웠지만 무지 친절감동. 아줌마들 사랑방 분위기의 수다소리가 카페분위기를 망쳐서 아쉬움 음악도 좀더 커피맛처럼 고급지기를 희망~
,백진영,,
,,4,커피맛은 인정 디저트가 좀 아쉬웠지만 무지 친절감동. 아줌마들 사랑방 분위기의 수다소리가 카페분위기를 망쳐서 아쉬움 음악도 좀더 커피맛처럼 고급지기를 희망~
ChdDSUhNMG9nS0VJQ0FnSURLcXRUcjhnRRAB,Kyung Seonwoo,5,곶자왈 동백꽃차 너무 향도 좋았어요 ^^
